task,setup,released_decision_acc,stacked_y_equals_3_param_default_stacked_y,stacked_pred|stacked_y|higher|tie=0,stacked_pred|stacked_y|higher|tie=0.5,stacked_pred|stacked_y|higher|tie=1,stacked_pred|stacked_y|lower|tie=0,stacked_pred|stacked_y|lower|tie=0.5,stacked_pred|stacked_y|lower|tie=1,stacked_pred|step_2_y|higher|tie=0,stacked_pred|step_2_y|higher|tie=0.5,stacked_pred|step_2_y|higher|tie=1,stacked_pred|step_2_y|lower|tie=0,stacked_pred|step_2_y|lower|tie=0.5,stacked_pred|step_2_y|lower|tie=1,stacked_pred|one_b_default_seed|higher|tie=0,stacked_pred|one_b_default_seed|higher|tie=0.5,stacked_pred|one_b_default_seed|higher|tie=1,stacked_pred|one_b_default_seed|lower|tie=0,stacked_pred|one_b_default_seed|lower|tie=0.5,stacked_pred|one_b_default_seed|lower|tie=1,stacked_pred|one_b_three_seed_mean|higher|tie=0,stacked_pred|one_b_three_seed_mean|higher|tie=0.5,stacked_pred|one_b_three_seed_mean|higher|tie=1,stacked_pred|one_b_three_seed_mean|lower|tie=0,stacked_pred|one_b_three_seed_mean|lower|tie=0.5,stacked_pred|one_b_three_seed_mean|lower|tie=1,step_2_pred|stacked_y|higher|tie=0,step_2_pred|stacked_y|higher|tie=0.5,step_2_pred|stacked_y|higher|tie=1,step_2_pred|stacked_y|lower|tie=0,step_2_pred|stacked_y|lower|tie=0.5,step_2_pred|stacked_y|lower|tie=1,step_2_pred|step_2_y|higher|tie=0,step_2_pred|step_2_y|higher|tie=0.5,step_2_pred|step_2_y|higher|tie=1,step_2_pred|step_2_y|lower|tie=0,step_2_pred|step_2_y|lower|tie=0.5,step_2_pred|step_2_y|lower|tie=1,step_2_pred|one_b_default_seed|higher|tie=0,step_2_pred|one_b_default_seed|higher|tie=0.5,step_2_pred|one_b_default_seed|higher|tie=1,step_2_pred|one_b_default_seed|lower|tie=0,step_2_pred|one_b_default_seed|lower|tie=0.5,step_2_pred|one_b_default_seed|lower|tie=1,step_2_pred|one_b_three_seed_mean|higher|tie=0,step_2_pred|one_b_three_seed_mean|higher|tie=0.5,step_2_pred|one_b_three_seed_mean|higher|tie=1,step_2_pred|one_b_three_seed_mean|lower|tie=0,step_2_pred|one_b_three_seed_mean|lower|tie=0.5,step_2_pred|one_b_three_seed_mean|lower|tie=1,matches_reference_convention,matched_by_any_convention
arc_challenge,3_param-default,0.8333333333333335,True,0.8333333333333334,0.8383333333333334,0.8433333333333334,0.15666666666666668,0.16166666666666665,0.16666666666666666,0.8333333333333334,0.8383333333333334,0.8433333333333334,0.15666666666666668,0.16166666666666665,0.16666666666666666,0.8333333333333334,0.8383333333333334,0.8433333333333334,0.15666666666666668,0.16166666666666665,0.16666666666666666,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.8333333333333334,0.8383333333333334,0.8433333333333334,0.15666666666666668,0.16166666666666665,0.16666666666666666,0.8333333333333334,0.8383333333333334,0.8433333333333334,0.15666666666666668,0.16166666666666665,0.16666666666666666,0.8333333333333334,0.8383333333333334,0.8433333333333334,0.15666666666666668,0.16166666666666665,0.16666666666666666,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.18333333333333332,0.18333333333333332,0.18333333333333332,False,True
arc_challenge,2_param-default,0.8233333333333335,True,0.8233333333333334,0.8283333333333334,0.8333333333333334,0.16666666666666666,0.17166666666666666,0.17666666666666667,0.8233333333333334,0.8283333333333334,0.8333333333333334,0.16666666666666666,0.17166666666666666,0.17666666666666667,0.8233333333333334,0.8283333333333334,0.8333333333333334,0.16666666666666666,0.17166666666666666,0.17666666666666667,0.8,0.8,0.8,0.2,0.2,0.2,0.8333333333333334,0.8383333333333334,0.8433333333333334,0.15666666666666668,0.16166666666666665,0.16666666666666666,0.8333333333333334,0.8383333333333334,0.8433333333333334,0.15666666666666668,0.16166666666666665,0.16666666666666666,0.8333333333333334,0.8383333333333334,0.8433333333333334,0.15666666666666668,0.16166666666666665,0.16666666666666666,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.18333333333333332,0.18333333333333332,0.18333333333333332,False,True
arc_challenge,5_param-ai2,0.8366666666666667,False,0.14,0.14,0.14,0.86,0.86,0.86,0.8333333333333334,0.8383333333333334,0.8433333333333334,0.15666666666666668,0.16166666666666665,0.16666666666666666,0.8333333333333334,0.8383333333333334,0.8433333333333334,0.15666666666666668,0.16166666666666665,0.16666666666666666,0.8133333333333334,0.8133333333333334,0.8133333333333334,0.18666666666666668,0.18666666666666668,0.18666666666666668,0.15,0.15,0.15,0.85,0.85,0.85,0.8333333333333334,0.8383333333333334,0.8433333333333334,0.15666666666666668,0.16166666666666665,0.16666666666666666,0.8333333333333334,0.8383333333333334,0.8433333333333334,0.15666666666666668,0.16166666666666665,0.16666666666666666,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.18333333333333332,0.18333333333333332,0.18333333333333332,False,False
arc_challenge,3_param-1_step,0.8966666666666666,False,0.8866666666666667,0.8916666666666667,0.8966666666666666,0.10333333333333333,0.10833333333333334,0.11333333333333333,0.8866666666666667,0.8916666666666667,0.8966666666666666,0.10333333333333333,0.10833333333333334,0.11333333333333333,0.8966666666666666,0.9016666666666666,0.9066666666666666,0.09333333333333334,0.09833333333333333,0.10333333333333333,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.09333333333333334,0.09333333333333334,0.09333333333333334,0.8866666666666667,0.8916666666666667,0.8966666666666666,0.10333333333333333,0.10833333333333334,0.11333333333333333,0.8866666666666667,0.8916666666666667,0.8966666666666666,0.10333333333333333,0.10833333333333334,0.11333333333333333,0.8966666666666666,0.9016666666666666,0.9066666666666666,0.09333333333333334,0.09833333333333333,0.10333333333333333,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.09333333333333334,0.09333333333333334,0.09333333333333334,False,True
arc_challenge,5_param-1_step-ai2,0.7033333333333335,False,0.7,0.705,0.71,0.29,0.295,0.3,0.7,0.705,0.71,0.29,0.295,0.3,0.7,0.705,0.71,0.29,0.295,0.3,0.68,0.68,0.68,0.32,0.32,0.32,0.7,0.705,0.71,0.29,0.295,0.3,0.7,0.705,0.71,0.29,0.295,0.3,0.7,0.705,0.71,0.29,0.295,0.3,0.68,0.68,0.68,0.32,0.32,0.32,False,False
arc_challenge,3_param-default-helper_points,0.85,True,0.85,0.855,0.86,0.14,0.145,0.15,0.85,0.855,0.86,0.14,0.145,0.15,0.85,0.855,0.86,0.14,0.145,0.15,0.8533333333333334,0.8533333333333334,0.8533333333333334,0.14666666666666667,0.14666666666666667,0.14666666666666667,0.8833333333333333,0.8883333333333333,0.8933333333333333,0.10666666666666667,0.11166666666666666,0.11666666666666667,0.8833333333333333,0.8883333333333333,0.8933333333333333,0.10666666666666667,0.11166666666666666,0.11666666666666667,0.8833333333333333,0.8883333333333333,0.8933333333333333,0.10666666666666667,0.11166666666666666,0.11666666666666667,0.88,0.88,0.88,0.12,0.12,0.12,False,True
arc_challenge,3_param-default-step2=0.5,0.8166666666666668,True,0.8133333333333334,0.8183333333333334,0.8233333333333334,0.17666666666666667,0.18166666666666667,0.18666666666666668,0.8133333333333334,0.8183333333333334,0.8233333333333334,0.17666666666666667,0.18166666666666667,0.18666666666666668,0.8133333333333334,0.8183333333333334,0.8233333333333334,0.17666666666666667,0.18166666666666667,0.18666666666666668,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.17333333333333334,0.17333333333333334,0.17333333333333334,0.8066666666666666,0.8116666666666666,0.8166666666666667,0.18333333333333332,0.18833333333333332,0.19333333333333333,0.8066666666666666,0.8116666666666666,0.8166666666666667,0.18333333333333332,0.18833333333333332,0.19333333333333333,0.8066666666666666,0.8116666666666666,0.8166666666666667,0.18333333333333332,0.18833333333333332,0.19333333333333333,0.82,0.82,0.82,0.18,0.18,0.18,False,True
arc_challenge,3_param-default-helper_points-step2=0.5,0.8133333333333332,True,0.8133333333333334,0.8183333333333334,0.8233333333333334,0.17666666666666667,0.18166666666666667,0.18666666666666668,0.8133333333333334,0.8183333333333334,0.8233333333333334,0.17666666666666667,0.18166666666666667,0.18666666666666668,0.8133333333333334,0.8183333333333334,0.8233333333333334,0.17666666666666667,0.18166666666666667,0.18666666666666668,0.81,0.81,0.81,0.19,0.19,0.19,0.8433333333333334,0.8483333333333334,0.8533333333333334,0.14666666666666667,0.15166666666666667,0.15666666666666668,0.8433333333333334,0.8483333333333334,0.8533333333333334,0.14666666666666667,0.15166666666666667,0.15666666666666668,0.8433333333333334,0.8483333333333334,0.8533333333333334,0.14666666666666667,0.15166666666666667,0.15666666666666668,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.17333333333333334,0.17333333333333334,0.17333333333333334,False,True
arc_easy,5_param-ai2,0.9433333333333335,False,0.06333333333333334,0.06333333333333334,0.06333333333333334,0.9366666666666666,0.9366666666666666,0.9366666666666666,0.9433333333333334,0.9433333333333334,0.9433333333333334,0.056666666666666664,0.056666666666666664,0.056666666666666664,0.9433333333333334,0.9433333333333334,0.9433333333333334,0.056666666666666664,0.056666666666666664,0.056666666666666664,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03666666666666667,0.03666666666666667,0.03666666666666667,0.9633333333333334,0.9633333333333334,0.9633333333333334,0.9433333333333334,0.9433333333333334,0.9433333333333334,0.056666666666666664,0.056666666666666664,0.056666666666666664,0.9433333333333334,0.9433333333333334,0.9433333333333334,0.056666666666666664,0.056666666666666664,0.056666666666666664,0.9466666666666667,0.9466666666666667,0.9466666666666667,0.05333333333333334,0.05333333333333334,0.05333333333333334,False,True
arc_easy,3_param-1_step,0.9633333333333334,False,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.9633333333333334,0.9633333333333334,0.9633333333333334,0.03666666666666667,0.03666666666666667,0.03666666666666667,0.9466666666666667,0.9466666666666667,0.9466666666666667,0.05333333333333334,0.05333333333333334,0.05333333333333334,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.9633333333333334,0.9633333333333334,0.9633333333333334,0.03666666666666667,0.03666666666666667,0.03666666666666667,0.9466666666666667,0.9466666666666667,0.9466666666666667,0.05333333333333334,0.05333333333333334,0.05333333333333334,False,True
